sensor_type,device_type,timestamps,seconds_elapsed,lux
light,smartphone,1654706183197267200,968.7592670898438,49.005
light,smartphone,1654706183357267700,968.9192678222656,55.013
light,smartphone,1654706183517270800,969.0792707519531,56.970
light,smartphone,1654706183837268700,969.3992687988281,62.978
light,smartphone,1654706183997268000,969.5592680664063,56.025
light,smartphone,1654706184157267200,969.7192670898437,51.975
light,smartphone,1654706184317269000,969.8792690429688,55.013
light,smartphone,1654706184477267500,970.0392673339844,58.995
light,smartphone,1654706184637268000,970.1992680664063,60.008
light,smartphone,1654706184797271300,970.3592712402344,56.970
light,smartphone,1654706184957270800,970.5192707519532,54.000
light,smartphone,1654706185117268000,970.6792680664063,58.995
light,smartphone,1654706185277269000,970.8392690429688,52.988
light,smartphone,1654706185597261000,971.1592609863281,51.030
light,smartphone,1654706185757268700,971.3192687988281,46.980
light,smartphone,1654706185917268200,971.4792683105469,51.975
light,smartphone,1654706186077269800,971.6392697753906,45.968
light,smartphone,1654706186237268500,971.7992685546875,51.030
light,smartphone,1654706186397267700,971.9592678222656,49.005
light,smartphone,1654706186557269000,972.1192690429688,46.980
light,smartphone,1654706186717267700,972.2792678222656,165.983
light,smartphone,1654706186877273900,972.4392739257812,370.980
light,smartphone,1654706187037267000,972.5992668457031,369.023
light,smartphone,1654706187357269000,972.9192690429687,364.973
light,smartphone,1654706187517295400,973.0792954101563,363.015
light,smartphone,1654706187677270000,973.2392700195312,369.023
light,smartphone,1654706187837266000,973.3992658691407,365.985
light,smartphone,1654706187997267500,973.5592673339844,369.023
light,smartphone,1654706188157268200,973.7192683105469,369.968
light,smartphone,1654706188317271300,973.8792712402344,366.998
light,smartphone,1654706188477269800,974.0392697753906,368.010
light,smartphone,1654706188797269800,974.3592697753907,342.023
light,smartphone,1654706188957269800,974.5192697753906,57.983
light,smartphone,1654706189117270800,974.6792707519531,45.023
light,smartphone,1654706189277267200,974.8392670898437,34.020
light,smartphone,1654706189437259500,974.9992595214844,35.033
light,smartphone,1654706189597266200,975.1592661132812,45.968
light,smartphone,1654706189757266000,975.3192658691406,154.980
light,smartphone,1654706189917268700,975.4792687988281,180.968
light,smartphone,1654706190077270800,975.6392707519532,209.993
light,smartphone,1654706190237266200,975.7992661132813,236.993
light,smartphone,1654706190397259500,975.9592595214843,234.968
light,smartphone,1654706190557265700,976.119265625,240.975
light,smartphone,1654706190717270000,976.2792700195313,235.980
light,smartphone,1654706190877267200,976.4392670898437,266.018
light,smartphone,1654706191037267000,976.5992668457031,288.023
light,smartphone,1654706191197268000,976.7592680664062,287.010
light,smartphone,1654706191357261600,976.9192614746094,288.967
light,smartphone,1654706191517269500,977.07926953125,285.997
light,smartphone,1654706191677276700,977.2392766113281,288.967
light,smartphone,1654706191997267700,977.5592678222656,283.973
light,smartphone,1654706192157267700,977.7192678222656,292.005
light,smartphone,1654706192317262000,977.8792619628906,287.010
light,smartphone,1654706192477268000,978.0392680664063,288.023
light,smartphone,1654706192637267500,978.1992673339844,289.980
light,smartphone,1654706192797271300,978.3592712402344,287.010
light,smartphone,1654706192957269500,978.51926953125,288.967
light,smartphone,1654706193117268000,978.6792680664063,287.010
light,smartphone,1654706193277259000,978.8392590332031,283.973
light,smartphone,1654706193437267000,978.9992668457031,288.967
light,smartphone,1654706193597267000,979.1592668457031,285.997
light,smartphone,1654706193757267700,979.3192678222656,288.023
light,smartphone,1654706193917268000,979.4792680664062,283.973
light,smartphone,1654706194077268000,979.6392680664062,285.997
light,smartphone,1654706194237260000,979.7992600097656,288.023
light,smartphone,1654706194397269800,979.9592697753907,284.985
light,smartphone,1654706194557268200,980.1192683105469,289.980
light,smartphone,1654706194717267200,980.2792670898438,283.973
light,smartphone,1654706194877267700,980.4392678222656,290.993
light,smartphone,1654706195037266700,980.5992666015625,287.010
light,smartphone,1654706195197262600,980.7592626953125,288.023
light,smartphone,1654706195517273900,981.0792739257812,285.997
light,smartphone,1654706195677270300,981.2392702636719,288.967
light,smartphone,1654706195837267200,981.3992670898438,288.023
light,smartphone,1654706195997267000,981.5592668457032,285.997
light,smartphone,1654706196157260000,981.7192600097657,287.010
light,smartphone,1654706196317266700,981.8792666015624,285.997
light,smartphone,1654706196477267000,982.0392668457031,290.993
light,smartphone,1654706196637268000,982.1992680664063,287.010
light,smartphone,1654706196797277400,982.35927734375,288.023
light,smartphone,1654706196957273900,982.5192739257812,287.010
light,smartphone,1654706197117260300,982.6792602539062,288.023
light,smartphone,1654706197277265700,982.839265625,289.980
light,smartphone,1654706197437267000,982.9992668457031,287.010
light,smartphone,1654706197597271800,983.1592717285156,289.980
light,smartphone,1654706197757267000,983.3192668457032,285.997
light,smartphone,1654706197917269000,983.4792690429688,288.967
light,smartphone,1654706198077261600,983.6392614746094,292.005
light,smartphone,1654706198237267000,983.7992668457031,288.023
light,smartphone,1654706198557267000,984.1192668457031,289.980
light,smartphone,1654706198717268000,984.2792680664063,288.023
light,smartphone,1654706198877266000,984.4392658691406,292.005
light,smartphone,1654706199037261300,984.5992612304688,288.967
light,smartphone,1654706199197269500,984.75926953125,288.023
light,smartphone,1654706199357266200,984.9192661132812,287.010
light,smartphone,1654706199517270000,985.0792700195312,288.023
light,smartphone,1654706199677270800,985.2392707519531,289.980
light,smartphone,1654706199837268200,985.3992683105469,285.997
light,smartphone,1654706199997262300,985.5592624511719,292.005
light,smartphone,1654706200157270000,985.7192700195312,287.010
light,smartphone,1654706200317266000,985.8792658691407,290.993
light,smartphone,1654706200477267000,986.0392668457031,288.023
light,smartphone,1654706200637267000,986.1992668457032,290.993
light,smartphone,1654706200797271300,986.3592712402344,288.967
light,smartphone,1654706201117267000,986.6792668457031,289.980
light,smartphone,1654706201277267200,986.8392670898437,287.010
light,smartphone,1654706201437266000,986.9992658691406,289.980
light,smartphone,1654706201597268000,987.1592680664063,288.023
light,smartphone,1654706201757266200,987.3192661132813,290.993
light,smartphone,1654706201917270500,987.4792705078125,289.980
light,smartphone,1654706202077269800,987.6392697753906,290.993
light,smartphone,1654706202237268200,987.7992683105468,288.023
light,smartphone,1654706202397268200,987.9592683105469,290.993
light,smartphone,1654706202557268200,988.1192683105469,288.023
light,smartphone,1654706202717273300,988.2792734375,293.018
light,smartphone,1654706202877289000,988.4392890625,288.967
light,smartphone,1654706203037266000,988.5992658691406,290.993
light,smartphone,1654706203197268000,988.7592680664062,288.967
light,smartphone,1654706203357266700,988.9192666015625,288.023
light,smartphone,1654706203517271300,989.0792712402343,289.980
light,smartphone,1654706203677270000,989.2392700195312,288.023
light,smartphone,1654706203837269200,989.3992692871094,288.967
light,smartphone,1654706203997266200,989.5592661132813,293.018
light,smartphone,1654706204157267500,989.7192673339844,288.967
light,smartphone,1654706204477267700,990.0392678222656,293.018
light,smartphone,1654706204637266700,990.1992666015625,288.023
light,smartphone,1654706204797270300,990.3592702636719,288.967
light,smartphone,1654706205117266400,990.6792663574219,285.997
light,smartphone,1654706205277265400,990.8392653808594,292.005
light,smartphone,1654706205437267200,990.9992670898438,289.980
light,smartphone,1654706205597266700,991.1592666015625,288.023
light,smartphone,1654706205757268700,991.3192687988281,290.993
light,smartphone,1654706205917270000,991.4792700195312,287.010
light,smartphone,1654706206077269500,991.63926953125,288.023
light,smartphone,1654706206237266200,991.7992661132813,292.005
light,smartphone,1654706206397268000,991.9592680664063,288.967
light,smartphone,1654706206717267200,992.2792670898438,292.005
light,smartphone,1654706206877266200,992.4392661132813,288.967
light,smartphone,1654706207037268200,992.5992683105469,289.980
light,smartphone,1654706207197273900,992.7592739257813,292.005
light,smartphone,1654706207357267200,992.9192670898437,287.010
light,smartphone,1654706207517269800,993.0792697753906,288.023
light,smartphone,1654706207677274600,993.2392746582032,290.993
light,smartphone,1654706207837267000,993.3992668457031,288.967
light,smartphone,1654706207997271000,993.5592709960938,292.005
light,smartphone,1654706208157268000,993.7192680664062,288.967
light,smartphone,1654706208317267500,993.8792673339843,289.980
light,smartphone,1654706208637267700,994.1992678222656,288.967
light,smartphone,1654706208797272000,994.3592719726563,290.993
light,smartphone,1654706208957270000,994.5192700195313,288.023
light,smartphone,1654706209117265700,994.679265625,292.005
light,smartphone,1654706209277272600,994.8392724609375,288.967
light,smartphone,1654706209597267000,995.1592668457031,290.993
light,smartphone,1654706209757268200,995.3192683105469,288.023
light,smartphone,1654706209917267200,995.4792670898438,288.967
light,smartphone,1654706210077272000,995.6392719726563,288.023
light,smartphone,1654706210237266700,995.7992666015625,288.967
light,smartphone,1654706210557269500,996.11926953125,287.010
light,smartphone,1654706210717269000,996.2792690429687,294.030
light,smartphone,1654706210877271600,996.439271484375,287.010
light,smartphone,1654706211037268200,996.5992683105469,290.993
light,smartphone,1654706211197267000,996.7592668457031,288.967
light,smartphone,1654706211357268000,996.9192680664063,290.993
light,smartphone,1654706211517271000,997.0792709960938,288.967
light,smartphone,1654706211677283600,997.2392836914063,289.980
light,smartphone,1654706211837267500,997.3992673339844,288.967
light,smartphone,1654706211997268500,997.5592685546875,288.023
light,smartphone,1654706212157267000,997.7192668457031,288.967
light,smartphone,1654706212317268500,997.8792685546875,289.980
light,smartphone,1654706212637268200,998.1992683105469,287.010
light,smartphone,1654706212797269800,998.3592697753907,289.980
light,smartphone,1654706212957270800,998.5192707519532,288.023
light,smartphone,1654706213117270000,998.6792700195313,289.980
light,smartphone,1654706213277267500,998.8392673339844,288.023
light,smartphone,1654706213597265400,999.1592653808593,290.993
light,smartphone,1654706213757266400,999.3192663574218,283.027
light,smartphone,1654706213917266400,999.4792663574219,289.980
light,smartphone,1654706214077269200,999.6392692871094,288.967
light,smartphone,1654706214397265400,999.9592653808594,290.993
light,smartphone,1654706214557269200,1000.1192692871093,285.997
light,smartphone,1654706214717269800,1000.2792697753906,292.005
light,smartphone,1654706214877267200,1000.4392670898437,288.023
light,smartphone,1654706215037267000,1000.5992668457031,289.980
light,smartphone,1654706215357267000,1000.9192668457031,288.023
light,smartphone,1654706215517278700,1001.0792788085937,290.993
light,smartphone,1654706215677271300,1001.2392712402344,288.023
light,smartphone,1654706215837268000,1001.3992680664062,289.980
light,smartphone,1654706215997269200,1001.5592692871094,288.967
light,smartphone,1654706216157260300,1001.7192602539062,284.985
light,smartphone,1654706216317267200,1001.8792670898438,293.018
light,smartphone,1654706216477266700,1002.0392666015625,287.010
light,smartphone,1654706216637267500,1002.1992673339844,289.980
light,smartphone,1654706216797270800,1002.3592707519531,288.023
light,smartphone,1654706216957269800,1002.5192697753906,287.010
light,smartphone,1654706217117259800,1002.679259765625,289.980
light,smartphone,1654706217277268200,1002.8392683105469,288.023
light,smartphone,1654706217917272000,1003.4792719726563,289.980
light,smartphone,1654706218077260800,1003.6392607421875,287.010
light,smartphone,1654706218237267500,1003.7992673339844,292.005
light,smartphone,1654706218397267200,1003.9592670898437,287.010
light,smartphone,1654706218557267200,1004.1192670898438,288.023
light,smartphone,1654706218717268500,1004.2792685546875,290.993
light,smartphone,1654706218877268700,1004.4392687988282,288.023
light,smartphone,1654706219037267200,1004.5992670898438,292.005
light,smartphone,1654706219197268200,1004.7592683105469,288.023
light,smartphone,1654706219677269800,1005.2392697753907,284.985
light,smartphone,1654706219837267200,1005.3992670898438,290.993
light,smartphone,1654706219997267700,1005.5592678222656,287.010
light,smartphone,1654706220317267000,1005.8792668457031,288.023
light,smartphone,1654706220637267200,1006.1992670898437,288.967
light,smartphone,1654706220797272300,1006.3592722167969,287.010
light,smartphone,1654706220957261300,1006.5192612304687,285.997
light,smartphone,1654706221117266700,1006.6792666015625,289.980
light,smartphone,1654706221277266400,1006.8392663574218,287.010
light,smartphone,1654706221437267200,1006.9992670898438,292.005
light,smartphone,1654706221597268000,1007.1592680664063,288.967
light,smartphone,1654706221757267000,1007.3192668457032,285.997
light,smartphone,1654706221917260000,1007.4792600097657,290.993
light,smartphone,1654706222077271300,1007.6392712402344,288.967
light,smartphone,1654706222237267500,1007.7992673339844,290.993
light,smartphone,1654706222397269500,1007.95926953125,287.010
light,smartphone,1654706222557269500,1008.11926953125,288.967
light,smartphone,1654706222717269200,1008.2792692871094,290.993
light,smartphone,1654706222877261300,1008.4392612304688,288.023
light,smartphone,1654706223037267200,1008.5992670898438,292.005
light,smartphone,1654706223197267200,1008.7592670898438,288.967
light,smartphone,1654706223357268200,1008.9192683105468,290.993
light,smartphone,1654706223517270000,1009.0792700195312,288.967
light,smartphone,1654706223677270000,1009.2392700195312,288.023
light,smartphone,1654706223837261600,1009.3992614746094,289.980
light,smartphone,1654706223997271600,1009.559271484375,284.985
light,smartphone,1654706224157267200,1009.7192670898437,288.967
light,smartphone,1654706224317266000,1009.8792658691407,293.018
light,smartphone,1654706224477267000,1010.0392668457031,288.023
light,smartphone,1654706224637268000,1010.1992680664063,287.010
light,smartphone,1654706224797260300,1010.3592602539062,289.980
