,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelRowing,labelSitting,labelCycling,labelStanding,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,grav_phone_x,grav_phone_y,grav_phone_z
2022-06-22 20:31:36.323286,-0.6485548386206994,1.0730302735016897,-0.40169747517659116,0.3876465644973975,-0.47657438768790317,-0.14295410436506456,0,0,0,0,0,11.002500534057617,-33.14325164794922,-15.130500602722169,9.802500381469727,9.554828093602108,0.5942783665198547,-2.0678275365095873
2022-06-22 20:31:36.573286,0.012915317828838643,-0.4854739640767758,-0.661559875194843,0.2079583418627198,0.32401090201277,-0.014155615228586467,0,0,0,0,0,,-32.73600173950195,-13.784250602722167,12.888750648498535,9.541517441089336,0.38500017730089336,-2.203129236514752
2022-06-22 20:31:36.823286,-1.0080262643319589,-0.5606746187916508,1.3750058478779263,-0.28498821595200785,0.33001121174958015,-0.2637804603825013,0,0,0,0,0,17.482500553131104,-32.92650131225586,-15.55425064086914,8.963250312805176,9.668210877312553,1.0993786741186071,-1.1556417809592352
2022-06-22 20:31:37.073286,0.24666171807509202,0.5553761674807622,-0.7786194326785895,0.012481612224991504,-0.06942126126243518,-0.12881023643645817,0,0,0,0,0,24.03000068664551,-32.55975128173828,-16.90725082397461,5.76600025177002,9.671820127047026,1.4682937493691077,-0.6452510116192011
2022-06-22 20:31:37.323286,-0.3326766857734093,-0.6409774445570432,1.5121174213977961,-0.2230420001030255,0.0004875194997741626,0.06278984821759738,0,0,0,0,0,29.497501373291016,-32.274001388549806,-17.379000778198243,5.907000274658203,9.637450511638935,1.5079497603269725,-0.984451018846952
2022-06-22 20:31:37.573286,1.6214050363611292,-2.1284161695727595,1.5604653181853119,-0.31956995209610023,-0.21431455726700802,-0.4848116970172635,0,0,0,0,0,31.9950008392334,-31.624501190185548,-18.599250869750975,4.342500162124634,9.554469920970776,1.9196633012206465,-0.9512000503363433
2022-06-22 20:31:37.823286,-0.5271392602186936,0.24601570918009832,-0.5967780420413384,0.1832770575196124,0.3238581854563493,-0.5069472858538995,0,0,0,0,0,29.025001525878906,-28.07775115966797,-22.905750732421875,5.283750224113464,9.199389090904823,3.240322287266071,-0.9296171905902716
2022-06-22 20:31:38.073286,1.03622161425077,1.5183519675181463,0.2507309392094612,0.2525984591159683,0.553566840548928,-0.05632877965959219,0,0,0,0,0,25.987501144409183,-25.99875099182129,-25.435501174926756,3.2407501220703123,8.938926550058218,4.011601530588591,0.03954644572849456
2022-06-22 20:31:38.323286,-0.7793029679192437,-0.8021935180381492,-0.2926280343974078,0.4337507591203407,-0.5952339983648725,0.10987647408964457,0,0,0,0,0,,-27.538501052856446,-23.625750961303712,5.984250321388244,9.087194089536313,3.5737873801478632,-0.6686798947414866
2022-06-22 20:31:38.573286,-0.6130682871891902,-0.49597973089951736,0.03851075814320489,0.35625751689076424,-0.15235789915403494,0.13366191345266998,0,0,0,0,0,,-26.649001159667968,-23.216250762939453,10.30350040435791,9.01891803741455,3.5230125280526967,-1.5321258489902203
2022-06-22 20:31:38.823286,0.12787382419292742,0.32708649451916033,-0.5730108893834628,-0.20202590568134418,0.030043974053114653,-0.028557928305907317,0,0,0,0,0,24.03000068664551,-27.216751098632812,-21.762750701904295,12.369000511169434,9.0666352051955,3.267672584607051,-1.8102810749640832
2022-06-22 20:31:39.073286,-0.26601387904240537,-0.31051557797652024,0.10998505353927612,-0.03141842067886431,0.019130640054264895,-0.09431987422375152,0,0,0,0,0,23.99625110626221,-26.449501190185547,-23.105250625610353,11.168250427246093,8.949883057520939,3.65406701197991,-1.6442995163110585
2022-06-22 20:31:39.323286,-0.09578602402298539,0.2441544179563169,-0.3360509475072225,-0.1507789644378203,0.19109603907499048,0.00997745810525009,0,0,0,0,0,,-27.02700134277344,-23.373000869750978,9.924000396728516,9.009630097283257,3.6532737325738975,-1.2735911475287542
2022-06-22 20:31:39.573286,0.5124380405132587,-0.18050600015200102,0.11654271529271053,-0.41795484793300813,0.13769714462642485,-0.11723904533741566,0,0,0,0,0,24.03000068664551,-27.0135009765625,-24.243000946044923,8.952750377655029,9.006495989285982,3.7084976709806003,-1.0966877444432332
2022-06-22 20:31:39.823286,-0.13277637041532075,-0.07882486856900729,-0.11714375133697813,-0.019835490375184114,0.0720644210680173,0.4764980226755142,0,0,0,0,0,24.502501487731934,-28.163251037597657,-24.076500930786132,5.006250171661377,9.170625576606163,3.4414740892556996,-0.18450986393369162
2022-06-22 20:31:40.073286,-0.23826493157280815,0.0030664073096381295,0.004675700708671853,-0.13715893994257958,-0.25414519926050194,-0.008348485782604527,0,0,0,0,0,28.01250076293945,-30.095251083374023,-22.49325080871582,4.650750217437744,9.340959195737485,2.9453355029777244,-0.4721926550070445
2022-06-22 20:31:40.323286,-0.08426743287306565,0.3798192647787241,-0.6452914496453909,-0.3895496422281632,0.48509124336907494,-0.21312132119559324,0,0,0,0,0,29.025001525878906,-29.790751266479493,-22.863750762939453,4.511250190734863,9.306889387277456,3.020014313551096,-0.30783974723174024
2022-06-22 20:31:40.573286,-0.462047815322876,0.03640309663919302,-1.4439588739321783,-0.2967216919462841,0.27767915851794756,0.2644222200481006,0,0,0,0,0,,-29.076001205444335,-24.460501022338867,-2.296500090956688,9.142649027017447,3.2841097024770884,1.2948305423443134
